[+      0ms] AutoHintDetectionProbe — wayfinder #45 detection spike (THROWAWAY)
[+      1ms] Logging to: C:\Users\knausj\git\Windows-Hinting\prototype\AutoHintDetectionProbe\auto-hint-detection-probe.log
[+      1ms] 
[+      1ms] Manual test checklist — open each, watch which events fire + the classify line:
[+      1ms]   v1 catalog:  Start menu · Search · Notification Center · Control Center ·
[+      1ms]                System-tray overflow · taskbar jump list (right-click a pinned app) ·
[+      1ms]                Task View · Snap Assist (Win+Z / drag-snap) ·
[+      1ms]                shell context menu (right-click desktop) · a Win11 XAML flyout
[+      1ms]   MenuOpened matrix — open a menu bar / context menu in EACH and note if UIA fires:
[+      1ms]                VS Code · GitHub Desktop · Visual Studio · File Explorer
[+      1ms]   Round 2 (COM): also watch UIA-COM Win.WindowOpened/Closed + MenuModeStart/End
[+      1ms]                — focus the problem apps (VS Code, GitHub Desktop).
[+      1ms]   Round 3: WINEVENT OBJECT_FOCUS + UIA FocusChanged — does focus-changed give a
[+      1ms]                clean focused-element signal, incl. into VS Code's in-DOM menu?
[+      1ms]   #49 redraw spike (3 SIGNALS): on attach to the REAL Start root (via
[+      1ms]                WindowOpened(name='Start')) the probe now watches THREE streams and
[+      1ms]                tags each line SC / LAYOUT / SCROLL on one shared Δ cadence clock:
[+      1ms]                  SC     = StructureChanged (tree gained/lost nodes — virtualization-bound)
[+      1ms]                  LAYOUT = LayoutInvalidated (container re-laid-out its children)
[+      1ms]                  SCROLL = ScrollPattern V/H-ScrollPercent changed (visible offset moved)
[+      1ms]                (a) open START, note first SC/LAYOUT +latency vs the WindowOpened lag (readiness);
[+      1ms]                (b) click ALL APPS + SCROLL the list (stays in the Start root) — which stream
[+      1ms]                tracks the scroll, and is its cadence (Δ gaps) clean/debounce-able or thrash? (c) tid.
[+      1ms]                NOTE: typing → results move to the SearchHost window (separate root, not
[+      1ms]                watched here). Manual override: type 'attach' / 'detach' + Enter.
[+      1ms]   Tip: type a label + Enter (e.g. 'START MENU') right before opening it to mark the log.
[+      1ms]   Ctrl+C to quit.
[+      1ms] 
[+      2ms] WinEvent hooks installed: system=True object=True focus=True
[+     64ms] UIA (managed) MenuOpened/MenuClosed handlers registered: True
[+     91ms] UIA (COM) WindowOpened/Closed + MenuModeStart/End handlers registered: True
[+    101ms] UIA (managed) FocusChanged handler registered: True
[+    101ms] ──────────────────────────────────────────────────────────────────────
[+    101ms] READY. Open a surface, or type a label + Enter to drop a MARK divider.
[+    101ms] ──────────────────────────────────────────────────────────────────────
[+  12800ms] ════════════ MARK: ALLAPPS2 ════════════
[+  15206ms] WINEVENT OBJECT_FOCUS           lat=  32ms hwnd=0x000101BE class='Windows.UI.Core.CoreWindow' title='Search' proc=SearchHost(7044)
            focus: ctl=Edit name='Search box' | parent: ctl=Window name='Search'
            → classify: START_MENU / SEARCH (strategy: active-window[-parent])
[+  15221ms] WINEVENT OBJECT_FOCUS           lat=  32ms hwnd=0x000101BE class='Windows.UI.Core.CoreWindow' title='Search' proc=SearchHost(7044)
            focus: ctl=Edit name='Search box' | parent: ctl=Window name='Search'
            → classify: START_MENU / SEARCH (strategy: active-window[-parent])
[+  15227ms] WINEVENT SYSTEM_FOREGROUND      lat=  31ms hwnd=0x000101BE class='Windows.UI.Core.CoreWindow' title='Search' proc=SearchHost(7044)
            focus: ctl=Edit name='Search box' | parent: ctl=Window name='Search'
            → classify: START_MENU / SEARCH (strategy: active-window[-parent])
[+  15243ms] UIA      FocusChanged            ctl=Edit name='Search box' class='' proc=SearchHost(7044)
[+  15282ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+  15282ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+  15292ms] UIA-COM  Win.WindowOpened       ctl=Window name='Start' class='Windows.UI.Core.CoreWindow' proc=StartMenuExperienceHost(7052)
[+  15300ms] ╔═ SC ATTACHED (WindowOpened name='Start' (StartMenuExperienceHost) hwnd=0x000101B0) scope=TreeScope_Subtree → ctl=Window name='Start' class='Windows.UI.Core.CoreWindow'. Watching readiness + redraw [SC + LAYOUT:ok + SCROLL:ok]…
[+  15308ms] SC     #1   ChildAdded           +    12ms (Δ    0ms) tid=6 ctl=Window name='Search' rid.len=2
[+  15566ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+  15567ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+  16159ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+  16239ms] SC     #2   ChildRemoved         +   944ms (Δ  932ms) tid=6 ctl=Pane name='CoreInput' rid.len=2
[+  16248ms] SC     #3   ChildRemoved         +   952ms (Δ    8ms) tid=6 ctl=Pane name='Search' rid.len=2
[+  16248ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+  35383ms] SC     #27  ChildAdded           + 20088ms (Δ    4ms) tid=7 ctl=ListItem name='Windows-Hinting, New' rid.len=0
[+  35384ms] SCROLL #276 V-Scroll%            + 20089ms (Δ    1ms) tid=7 val=96.81101184114925 ctl=List
[+  35391ms] SC     #28  ChildAdded           + 20095ms (Δ    6ms) tid=7 ctl=ListItem name='WiX Toolset v3.14 folder, Coll…' rid.len=0
[+  35392ms] SC     #29  ChildAdded           + 20097ms (Δ    2ms) tid=7 ctl=ListItem name='WiX Toolset v3.14 folder, Coll…' rid.len=0
[+  35401ms] SCROLL #277 V-Scroll%            + 20106ms (Δ    9ms) tid=7 val=98.90832727739087 ctl=List
[+  35407ms] SC     #30  ChildAdded           + 20111ms (Δ    5ms) tid=7 ctl=ListItem name='XBOX, New' rid.len=0
[+  35409ms] SC     #31  ChildRemoved         + 20113ms (Δ    2ms) tid=7 ctl=Group name='B' rid.len=1
[+  35410ms] SC     #32  ChildAdded           + 20115ms (Δ    2ms) tid=7 ctl=ListItem name='XBOX, New' rid.len=0
[+  35416ms] SCROLL #278 V-Scroll%            + 20120ms (Δ    5ms) tid=7 val=100 ctl=List
[+  36407ms] SC     #33  ChildAdded           + 21112ms (Δ  992ms) tid=7 ctl=50006 name='' rid.len=0
[+  36409ms] SC     #34  ChildRemoved         + 21114ms (Δ    2ms) tid=7 ctl=Button name='Search for apps, settings, and…' rid.len=1
[+  36411ms] WINEVENT SYSTEM_FOREGROUND      lat=   0ms hwnd=0x000101BE class='Windows.UI.Core.CoreWindow' title='Search' proc=SearchHost(7044)
            focus: ctl=Edit name='Search box' | parent: ctl=Window name='Search'
            → classify: START_MENU / SEARCH (strategy: active-window[-parent])
[+  36415ms] WINEVENT OBJECT_FOCUS           lat=  31ms hwnd=0x000101BE class='Windows.UI.Core.CoreWindow' title='Search' proc=SearchHost(7044)
            focus: ctl=Edit name='Search box' | parent: ctl=Window name='Search'
            → classify: START_MENU / SEARCH (strategy: active-window[-parent])
[+  36421ms] WINEVENT OBJECT_FOCUS           lat=  31ms hwnd=0x000101BE class='Windows.UI.Core.CoreWindow' title='Search' proc=SearchHost(7044)
            focus: ctl=Edit name='Search box' | parent: ctl=Window name='Search'
            → classify: START_MENU / SEARCH (strategy: active-window[-parent])
[+  36422ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+  36425ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+  36426ms] UIA      FocusChanged            ctl=Edit name='Search box' class='' proc=SearchHost(7044)
[+  37059ms] SCROLL #279 V-Scroll%            + 21764ms (Δ  650ms) tid=7 val=99.36947422778825 ctl=List
[+  37075ms] SCROLL #280 V-Scroll%            + 21779ms (Δ   15ms) tid=7 val=99.05420816813987 ctl=List
[+  37089ms] SCROLL #281 V-Scroll%            + 21794ms (Δ   15ms) tid=7 val=98.7456319360945 ctl=List
[+  37106ms] SCROLL #282 V-Scroll%            + 21811ms (Δ   17ms) tid=7 val=97.48138146082478 ctl=List
[+  37123ms] SCROLL #283 V-Scroll%            + 21828ms (Δ   17ms) tid=7 val=97.02083062524373 ctl=List
[+  37156ms] SCROLL #284 V-Scroll%            + 21861ms (Δ   33ms) tid=7 val=96.60118675256727 ctl=List
[+  37173ms] SCROLL #285 V-Scroll%            + 21878ms (Δ   17ms) tid=7 val=96.17966414272715 ctl=List
[+  37189ms] SCROLL #286 V-Scroll%            + 21894ms (Δ   16ms) tid=7 val=95.24652839838164 ctl=List
[+  37206ms] SCROLL #287 V-Scroll%            + 21910ms (Δ   16ms) tid=7 val=94.2705625243728 ctl=List
[+  37223ms] SCROLL #288 V-Scroll%            + 21928ms (Δ   18ms) tid=7 val=93.79680340488106 ctl=List
[+  37256ms] SCROLL #289 V-Scroll%            + 21960ms (Δ   32ms) tid=7 val=92.97238687971208 ctl=List
[+  37289ms] SCROLL #290 V-Scroll%            + 21994ms (Δ   34ms) tid=7 val=92.30153807641688 ctl=List
[+  37305ms] SCROLL #291 V-Scroll%            + 22010ms (Δ   16ms) tid=7 val=92.03801980087417 ctl=List
[+  37322ms] SCROLL #292 V-Scroll%            + 22027ms (Δ   17ms) tid=7 val=91.7926097588717 ctl=List
[+  37340ms] SCROLL #293 V-Scroll%            + 22044ms (Δ   17ms) tid=7 val=91.6213019343884 ctl=List
[+  37357ms] SCROLL #294 V-Scroll%            + 22062ms (Δ   18ms) tid=7 val=91.48888904686078 ctl=List
[+  37390ms] SCROLL #295 V-Scroll%            + 22094ms (Δ   32ms) tid=7 val=91.40871266898479 ctl=List
[+  37406ms] SCROLL #296 V-Scroll%            + 22111ms (Δ   17ms) tid=7 val=91.38177564019239 ctl=List
[+  37889ms] WINEVENT SYSTEM_FOREGROUND      lat=   0ms hwnd=0x002F0366 class='CASCADIA_HOSTING_WINDOW_CLASS' title='PowerShell' proc=WindowsTerminal(5060)
            focus: ctl=Pane name='' | parent: ctl= name=''
            → classify: NONE / unrecognized (candidate for a new catalog rule)
[+  37916ms] WINEVENT OBJECT_FOCUS           lat=   0ms hwnd=0x002F0366 class='CASCADIA_HOSTING_WINDOW_CLASS' title='PowerShell' proc=WindowsTerminal(5060)
            focus: ctl=Text name='PowerShell' | parent: ctl=Custom name=''
            → classify: NONE / unrecognized (candidate for a new catalog rule)
[+  37922ms] WINEVENT OBJECT_FOCUS           lat=  31ms hwnd=0x00290826 class='Windows.UI.Input.InputSite.WindowClass' title='' proc=WindowsTerminal(5060)
            focus: ctl=Text name='PowerShell' | parent: ctl=Custom name=''
            → classify: NONE / unrecognized (candidate for a new catalog rule)
[+  37926ms] UIA      FocusChanged            ctl=Text name='PowerShell' class='TermControl' proc=WindowsTerminal(5060)
[+  37927ms] WINEVENT OBJECT_FOCUS           lat=  31ms hwnd=0x00290826 class='Windows.UI.Input.InputSite.WindowClass' title='' proc=WindowsTerminal(5060)
            focus: ctl=Text name='PowerShell' | parent: ctl=Custom name=''
            → classify: NONE / unrecognized (candidate for a new catalog rule)
[+  37929ms] UIA      FocusChanged            ctl=Window name='PowerShell' class='CASCADIA_HOSTING_WINDOW_CLASS' proc=WindowsTerminal(5060)
[+  37930ms] WINEVENT OBJECT_FOCUS           lat=  31ms hwnd=0x00370584 class='Windows.UI.Composition.DesktopWindowContentBridge' title='DesktopWindowXamlSource' proc=WindowsTerminal(5060)
            focus: ctl=Text name='PowerShell' | parent: ctl=Custom name=''
            → classify: NONE / unrecognized (candidate for a new catalog rule)
[+  37934ms] UIA-COM  Win.WindowClosed       ctl=Window name='Search' class='Windows.UI.Core.CoreWindow' proc=SearchHost(7044)
[+  37944ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+  37944ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+  37944ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+  37945ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+  37948ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+  37949ms] UIA      FocusChanged            ctl=Text name='PowerShell' class='' proc=WindowsTerminal(5060)
[+  37962ms] SCROLL #297 V-Scroll%            + 22667ms (Δ  556ms) tid=7 val=0 ctl=List
[+  38000ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+  38001ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+  38001ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+  38060ms] UIA-COM  Win.WindowClosed       ctl=Window name='Start' class='Windows.UI.Core.CoreWindow' proc=StartMenuExperienceHost(7052)
[+  38061ms] ╚═ SC DETACHED (WindowClosed name='Start') — over 22766ms: SC=34, LAYOUT=0, SCROLL=297.
[+  41579ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+  42789ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+  42790ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+  43055ms] WINEVENT SYSTEM_FOREGROUND      lat=   0ms hwnd=0x000C069C class='CASCADIA_HOSTING_WINDOW_CLASS' title='✳ Plan next steps' proc=WindowsTerminal(5060)
            focus: ctl=Text name='PowerShell' | parent: ctl=Custom name=''
            → classify: NONE / unrecognized (candidate for a new catalog rule)
[+  43061ms] WINEVENT OBJECT_FOCUS           lat=  32ms hwnd=0x000C069C class='CASCADIA_HOSTING_WINDOW_CLASS' title='✳ Plan next steps' proc=WindowsTerminal(5060)
            focus: ctl=Text name='Command Prompt' | parent: ctl=Custom name=''
            → classify: NONE / unrecognized (candidate for a new catalog rule)
[+  43064ms] UIA      FocusChanged            ctl=Text name='Command Prompt' class='TermControl' proc=WindowsTerminal(5060)
[+  43064ms] WINEVENT OBJECT_FOCUS           lat=  32ms hwnd=0x000905FE class='Windows.UI.Composition.DesktopWindowContentBridge' title='DesktopWindowXamlSource' proc=WindowsTerminal(5060)
            focus: ctl=Text name='Command Prompt' | parent: ctl=Custom name=''
            → classify: NONE / unrecognized (candidate for a new catalog rule)
[+  43066ms] UIA      FocusChanged            ctl=Window name='✳ Plan next steps' class='CASCADIA_HOSTING_WINDOW_CLASS' proc=WindowsTerminal(5060)
[+  43067ms] WINEVENT OBJECT_FOCUS           lat=  32ms hwnd=0x000605EC class='Windows.UI.Input.InputSite.WindowClass' title='' proc=WindowsTerminal(5060)
            focus: ctl=Text name='Command Prompt' | parent: ctl=Custom name=''
            → classify: NONE / unrecognized (candidate for a new catalog rule)
[+  43068ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+  43071ms] WINEVENT OBJECT_FOCUS           lat=  32ms hwnd=0x000605EC class='Windows.UI.Input.InputSite.WindowClass' title='' proc=WindowsTerminal(5060)
            focus: ctl=Text name='Command Prompt' | parent: ctl=Custom name=''
            → classify: NONE / unrecognized (candidate for a new catalog rule)
[+  43072ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+  43075ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+  43076ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+  43078ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+  43079ms] UIA      FocusChanged            ctl=Text name='Command Prompt' class='' proc=WindowsTerminal(5060)
[+  47898ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+  53050ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+  61600ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+  68096ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+  84689ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+  84921ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+  84922ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+  84923ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+  85013ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+  85014ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+  85014ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+  85142ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+  85144ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+  85146ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+  85147ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+  85147ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+  85189ms] WINEVENT SYSTEM_FOREGROUND      lat=   0ms hwnd=0x000200E0 class='Shell_TrayWnd' title='' proc=explorer(5936)
            focus: ctl=Pane name='' | parent: ctl= name=''
            → classify: taskbar (Shell_TrayWnd — usually NONE unless search/taskview)
[+  85207ms] WINEVENT OBJECT_FOCUS           lat=   0ms hwnd=0x000200E0 class='Shell_TrayWnd' title='' proc=explorer(5936)
            focus: ctl=Pane name='' | parent: ctl=Pane name=''
            → classify: taskbar (Shell_TrayWnd — usually NONE unless search/taskview)
[+  85214ms] WINEVENT OBJECT_FOCUS           lat=  15ms hwnd=0x00010222 class='Windows.UI.Composition.DesktopWindowContentBridge' title='DesktopWindowXamlSource' proc=explorer(5936)
            focus: ctl=Button name='Start' | parent: ctl=Pane name=''
            → classify: NONE / unrecognized (candidate for a new catalog rule)
[+  85218ms] WINEVENT OBJECT_FOCUS           lat=  31ms hwnd=0x00010224 class='Windows.UI.Input.InputSite.WindowClass' title='' proc=explorer(5936)
            focus: ctl=Button name='Start' | parent: ctl=Pane name=''
            → classify: NONE / unrecognized (candidate for a new catalog rule)
[+  85218ms] UIA      FocusChanged            ctl=Button name='Start' class='ToggleButton' proc=explorer(5936)
[+  85218ms] UIA      FocusChanged            ctl=Pane name='' class='Shell_TrayWnd' proc=explorer(5936)
[+  85221ms] WINEVENT OBJECT_FOCUS           lat=  31ms hwnd=0x00010224 class='Windows.UI.Input.InputSite.WindowClass' title='' proc=explorer(5936)
            focus: ctl=Button name='Start' | parent: ctl=Pane name=''
            → classify: NONE / unrecognized (candidate for a new catalog rule)
[+  85222ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+  85226ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+  85233ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+  85240ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+  85241ms] UIA      FocusChanged            ctl=Button name='Start' class='' proc=explorer(5936)
[+  85390ms] WINEVENT SYSTEM_FOREGROUND      lat=   0ms hwnd=0x0014083C class='Chrome_WidgetWin_1' title='UI Automation Events Overview - .NET Fra…' proc=msedge(856)
            focus: ctl=Pane name='' | parent: ctl= name=''
            → classify: NONE / unrecognized (candidate for a new catalog rule)
[+  85487ms] WINEVENT OBJECT_FOCUS           lat=   0ms hwnd=0x0035084C class='Chrome_RenderWidgetHostHWND' title='Chrome Legacy Window' proc=msedge(856)
            focus: ctl=Document name='UI Automation Events Overview …' | parent: ctl=Pane name=''
            → classify: NONE / unrecognized (candidate for a new catalog rule)
[+  85504ms] WINEVENT OBJECT_FOCUS           lat=   0ms hwnd=0x0014083C class='Chrome_WidgetWin_1' title='UI Automation Events Overview - .NET Fra…' proc=msedge(856)
            focus: ctl=Document name='UI Automation Events Overview …' | parent: ctl=Pane name=''
            → classify: NONE / unrecognized (candidate for a new catalog rule)
[+  85521ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+  85524ms] UIA      FocusChanged            ctl=Document name='UI Automation Events Overview …' class='' proc=msedge(856)
[+  85530ms] UIA      FocusChanged            ctl=Document name='UI Automation Events Overview …' class='Chrome_RenderWidgetHostHWND' proc=msedge(856)
[+  85594ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+  85596ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+  85596ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+  87571ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+  87573ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+  87574ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+  87679ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+  87680ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+  87681ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+  87781ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+  87782ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+  87783ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+  88049ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+  88052ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+  88053ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+  88054ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+  88055ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+  90365ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+  95416ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+  97235ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+  97237ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+  97384ms] WINEVENT SYSTEM_MENUPOPUPSTART  lat=   0ms hwnd=0x000F05A8 class='Chrome_WidgetWin_1' title='' proc=msedge(856)
            focus: ctl=Document name='UI Automation Events Overview …' | parent: ctl=Pane name=''
            → classify: NONE / unrecognized (candidate for a new catalog rule)
[+  97396ms] WINEVENT SYSTEM_MENUSTART       lat=   0ms hwnd=0x000F05A8 class='Chrome_WidgetWin_1' title='' proc=msedge(856)
            focus: ctl=Document name='UI Automation Events Overview …' | parent: ctl=Pane name=''
            → classify: NONE / unrecognized (candidate for a new catalog rule)
[+  97406ms] UIA-COM  MenuModeEnd            ctl=? name='?' class='?' proc=?
[+  97406ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+  97407ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+  97409ms] UIA-COM  MenuModeEnd            ctl=Pane name='' class='' proc=msedge(856)
[+  97411ms] WINEVENT SYSTEM_MENUPOPUPEND    lat=   0ms hwnd=0x000F05A8 class='Chrome_WidgetWin_1' title='' proc=msedge(856)
            focus: ctl=Document name='UI Automation Events Overview …' | parent: ctl=Pane name=''
            → classify: NONE / unrecognized (candidate for a new catalog rule)
[+  97416ms] WINEVENT SYSTEM_MENUEND         lat=   0ms hwnd=0x000F05A8 class='Chrome_WidgetWin_1' title='' proc=msedge(856)
            focus: ctl=Document name='UI Automation Events Overview …' | parent: ctl=Pane name=''
            → classify: NONE / unrecognized (candidate for a new catalog rule)
[+  97417ms] UIA      MenuClosed             ctl=? name='?' class='?' proc=?
[+  97417ms] UIA      MenuClosed             ctl=ControlType.Pane name='' class='' proc=msedge(856)
[+  97418ms] UIA      FocusChanged            ctl=Document name='UI Automation Events Overview …' class='' proc=msedge(856)
[+  97418ms] UIA      FocusChanged            ctl=Document name='UI Automation Events Overview …' class='Chrome_RenderWidgetHostHWND' proc=msedge(856)
[+  97418ms] UIA      MenuClosed             ctl=? name='?' class='?' proc=?
[+  97625ms] WINEVENT SYSTEM_MENUPOPUPSTART  lat=   0ms hwnd=0x0069063E class='Chrome_WidgetWin_1' title='' proc=msedge(856)
            focus: ctl=Document name='UI Automation Events Overview …' | parent: ctl=Pane name=''
            → classify: NONE / unrecognized (candidate for a new catalog rule)
[+  97637ms] WINEVENT SYSTEM_MENUSTART       lat=   0ms hwnd=0x0069063E class='Chrome_WidgetWin_1' title='' proc=msedge(856)
            focus: ctl=Document name='UI Automation Events Overview …' | parent: ctl=Pane name=''
            → classify: NONE / unrecognized (candidate for a new catalog rule)
[+  97666ms] UIA      MenuOpened             ctl=ControlType.Pane name='' class='Chrome_WidgetWin_1' proc=msedge(856)
[+  98264ms] UIA-COM  MenuModeEnd            ctl=? name='?' class='?' proc=?
[+  98265ms] WINEVENT SYSTEM_MENUPOPUPEND    lat=   0ms hwnd=0x0069063E class='Chrome_WidgetWin_1' title='' proc=msedge(856)
            focus: ctl=Document name='UI Automation Events Overview …' | parent: ctl=Pane name=''
            → classify: NONE / unrecognized (candidate for a new catalog rule)
[+  98266ms] UIA-COM  MenuModeEnd            ctl=Pane name='' class='' proc=msedge(856)
[+  98266ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+  98268ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+  98272ms] WINEVENT SYSTEM_MENUEND         lat=   0ms hwnd=0x0069063E class='Chrome_WidgetWin_1' title='' proc=msedge(856)
            focus: ctl=Document name='UI Automation Events Overview …' | parent: ctl=Pane name=''
            → classify: NONE / unrecognized (candidate for a new catalog rule)
[+  98276ms] UIA      MenuClosed             ctl=? name='?' class='?' proc=?
[+  98277ms] UIA      MenuClosed             ctl=? name='?' class='?' proc=?
[+  98278ms] UIA      MenuClosed             ctl=ControlType.Pane name='' class='' proc=msedge(856)
[+  98279ms] UIA      FocusChanged            ctl=Document name='UI Automation Events Overview …' class='' proc=msedge(856)
[+ 110791ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+ 110795ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+ 110795ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+ 110796ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+ 110796ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+ 110796ms] WINEVENT OBJECT_FOCUS           lat=   0ms hwnd=0x0014083C class='Chrome_WidgetWin_1' title='UI Automation Events Overview - .NET Fra…' proc=msedge(856)
            focus: ctl=? name='' | parent: ctl= name=''
            → classify: NONE / unrecognized (candidate for a new catalog rule)
[+ 110796ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+ 110797ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+ 110798ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+ 110798ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+ 110799ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+ 110799ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+ 110799ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+ 110802ms] WINEVENT OBJECT_FOCUS           lat=  16ms hwnd=0x000200E0 class='Shell_TrayWnd' title='' proc=explorer(5936)
            focus: ctl=Button name='Start' | parent: ctl=Pane name=''
            → classify: taskbar (Shell_TrayWnd — usually NONE unless search/taskview)
[+ 110808ms] WINEVENT OBJECT_FOCUS           lat=  16ms hwnd=0x00010222 class='Windows.UI.Composition.DesktopWindowContentBridge' title='DesktopWindowXamlSource' proc=explorer(5936)
            focus: ctl=Button name='Start' | parent: ctl=Pane name=''
            → classify: NONE / unrecognized (candidate for a new catalog rule)
[+ 110812ms] WINEVENT OBJECT_FOCUS           lat=  32ms hwnd=0x00010224 class='Windows.UI.Input.InputSite.WindowClass' title='' proc=explorer(5936)
            focus: ctl=Button name='Start' | parent: ctl=Pane name=''
            → classify: NONE / unrecognized (candidate for a new catalog rule)
